epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.022,1.4214,2.7763,1.69818,0.44617,0.38512,0.34742,0.16422,1.66024,2.56505,2.06428,0.00332567,0.00332567,0.00332567
2,309.987,1.41147,2.10676,1.64794,0.54566,0.39276,0.41711,0.17517,1.83192,2.39791,2.23861,0.00659308,0.00659308,0.00659308
3,450.352,1.51828,2.07078,1.7475,0.38051,0.29623,0.25218,0.09317,2.21458,2.56876,2.80051,0.00979449,0.00979449,0.00979449
4,588.463,1.58105,2.09255,1.82265,0.51659,0.38444,0.39484,0.1698,2.05178,2.19437,2.36377,0.009703,0.009703,0.009703
5,726.915,1.56193,1.99715,1.81193,0.4752,0.38287,0.36282,0.15355,2.0242,2.23204,2.38295,0.009604,0.009604,0.009604
6,863.548,1.52428,1.89262,1.776,0.55136,0.50555,0.52717,0.23804,1.81649,1.85772,2.17262,0.009505,0.009505,0.009505
7,1000.05,1.48708,1.81469,1.75143,0.61985,0.47531,0.54045,0.25913,1.82679,1.78063,2.19975,0.009406,0.009406,0.009406
8,1135.57,1.45692,1.74136,1.71725,0.55485,0.51648,0.53772,0.25696,1.80404,1.74487,2.10794,0.009307,0.009307,0.009307
9,1271.78,1.42986,1.66942,1.69436,0.58953,0.47508,0.50058,0.24663,1.80931,1.7768,2.15931,0.009208,0.009208,0.009208
10,1410.83,1.4084,1.6268,1.67661,0.64269,0.52082,0.56544,0.29095,1.72807,1.6251,2.02148,0.009109,0.009109,0.009109
11,1551.08,1.39153,1.58199,1.65373,0.68611,0.56622,0.6246,0.32133,1.72174,1.52404,2.02146,0.00901,0.00901,0.00901
12,1685.42,1.38247,1.56223,1.65831,0.60915,0.57549,0.59063,0.30209,1.72153,1.53601,2.0513,0.008911,0.008911,0.008911
13,1819.65,1.38788,1.54307,1.65732,0.68037,0.60173,0.65384,0.34573,1.68269,1.41297,2.00327,0.008812,0.008812,0.008812
