epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1905,2.61779,4.49277,2.17737,0.01152,0.19231,0.01978,0.00397,2.52495,4.03233,2.00525,5.001e-05,5.001e-05,5.001e-05
2,94.388,2.41377,5.55548,1.79511,0.01129,0.19231,0.01855,0.00378,2.59316,3.91095,2.06014,0.000115535,0.000115535,0.000115535
3,133.219,1.87695,4.42554,1.51481,0.00452,0.07692,0.00413,0.00189,2.45527,3.88018,1.89588,0.000179739,0.000179739,0.000179739
4,172.338,1.82441,4.12847,1.52915,0.02146,0.38462,0.0482,0.01392,2.22134,3.89315,1.60262,0.000242624,0.000242624,0.000242624
5,211.937,2.04422,4.42116,1.40334,0.02361,0.42308,0.03289,0.01268,2.13708,3.93525,1.52388,0.000304187,0.000304187,0.000304187
6,251.795,2.28384,6.4259,1.68784,0.02703,0.5,0.02545,0.00991,2.13729,3.91199,1.46653,0.000364431,0.000364431,0.000364431
7,290.333,1.91619,3.65226,1.27666,0.02412,0.42308,0.02606,0.0109,2.06351,3.78069,1.39661,0.000423355,0.000423355,0.000423355
8,328.745,1.7965,3.08582,1.37463,0.02548,0.46154,0.02364,0.00977,2.09911,3.72674,1.46999,0.000480958,0.000480958,0.000480958
9,367.125,2.35481,8.01579,1.55374,0.02724,0.53846,0.0274,0.01092,2.14369,3.73502,1.66621,0.000537241,0.000537241,0.000537241
10,405.771,1.89738,3.76129,1.56683,0.02677,0.53846,0.0288,0.01116,2.03196,3.76972,1.60612,0.000592203,0.000592203,0.000592203
11,444.626,1.67271,3.01647,1.42272,0.02621,0.5,0.0339,0.00986,2.19169,3.6814,1.69534,0.000645846,0.000645846,0.000645846
12,485.601,1.79044,3.26365,1.44269,0.01255,0.23077,0.01051,0.00401,1.98773,3.67605,1.51148,0.000698168,0.000698168,0.000698168
13,527.533,1.80374,3.16305,1.65978,0.01489,0.26923,0.0123,0.00385,2.0384,3.60702,1.68751,0.00074917,0.00074917,0.00074917
14,566.4,2.09669,4.77091,1.48318,0.01277,0.23077,0.00862,0.00255,2.17558,3.61776,1.78524,0.000798851,0.000798851,0.000798851
15,606.485,1.84369,3.79726,1.4372,0.01092,0.19231,0.0088,0.00255,2.15,3.64829,1.68222,0.000847213,0.000847213,0.000847213
16,646.129,1.86351,2.99995,1.46055,0.01351,0.23077,0.01273,0.00303,2.12147,3.68514,1.61227,0.000894254,0.000894254,0.000894254
17,684.973,1.82866,2.68963,1.49858,0.01163,0.19231,0.01305,0.00297,2.14412,3.75435,1.76948,0.000939975,0.000939975,0.000939975
18,723.82,2.21256,3.65129,1.4053,0.01822,0.30769,0.01948,0.00479,2.23454,3.64117,1.85766,0.000984375,0.000984375,0.000984375
19,762.51,2.33253,9.31289,1.50888,0.01277,0.23077,0.01291,0.0034,2.23519,3.66914,1.75876,0.00102746,0.00102746,0.00102746
20,801.123,1.84895,2.94981,1.63621,0.0157,0.26923,0.01692,0.00501,2.25554,3.69054,1.77915,0.00106922,0.00106922,0.00106922
21,839.929,2.35359,6.39572,1.60694,0.01554,0.34615,0.01074,0.00333,2.45037,3.69612,2.19286,0.00110966,0.00110966,0.00110966
22,878.664,2.34333,5.16276,1.4792,0.15043,0.07692,0.05502,0.00941,2.40634,4.288,2.32667,0.00114877,0.00114877,0.00114877
23,918.881,1.65599,2.79987,1.51858,0.0451,0.07692,0.0206,0.00652,2.48328,5.15712,2.48123,0.00118657,0.00118657,0.00118657
24,958.579,1.73016,2.92212,1.58765,0.03544,0.15385,0.02459,0.00858,2.4095,5.22126,2.49082,0.00122305,0.00122305,0.00122305
25,998.987,2.18865,4.05032,1.46267,0.03276,0.38462,0.02133,0.00857,2.40086,5.93341,2.53544,0.00125821,0.00125821,0.00125821
26,1037.76,1.95671,2.69577,1.46735,0.02751,0.46154,0.02269,0.00706,2.56546,7.5186,2.44497,0.00125442,0.00125442,0.00125442
27,1076.9,2.02552,2.61562,1.42542,0.01735,0.53846,0.02144,0.00727,2.6882,6.08632,2.21142,0.00123791,0.00123791,0.00123791
28,1116.73,2.24482,3.95611,1.7187,0.06281,0.15385,0.03231,0.0111,2.59062,3.92457,1.99466,0.00122141,0.00122141,0.00122141
29,1156.39,2.2235,5.63961,1.55269,0.02471,0.5,0.02589,0.01094,2.47111,3.59492,1.69106,0.00120491,0.00120491,0.00120491
30,1195.6,1.77675,2.28523,1.49158,0.02263,0.42308,0.02311,0.00851,2.59714,3.52655,1.72783,0.0011884,0.0011884,0.0011884
31,1238.58,2.19758,3.6472,1.71439,0.01829,0.34615,0.01521,0.00689,2.60024,4.78117,1.70412,0.0011719,0.0011719,0.0011719
32,1279,1.83354,2.54331,1.41483,0.01533,0.30769,0.01313,0.00591,2.86996,6.27534,1.72512,0.0011554,0.0011554,0.0011554
33,1319.55,2.24801,3.34155,1.57177,0.01349,0.26923,0.01134,0.00449,2.9689,4.7006,1.92365,0.00113889,0.00113889,0.00113889
34,1358.47,1.98367,2.93857,1.55286,0.04218,0.11538,0.01801,0.00637,2.99414,4.0945,1.97236,0.00112239,0.00112239,0.00112239
35,1398.47,1.73353,2.54996,1.38525,0.11156,0.15385,0.05397,0.01714,2.86039,3.49694,2.2182,0.00110589,0.00110589,0.00110589
36,1437.75,1.80826,2.47336,1.51271,0.46773,0.15385,0.13639,0.04369,2.63212,3.29674,2.28437,0.00108938,0.00108938,0.00108938
